,Which category are your registering for?,Nonprofit - Company,Nonprofit - Address 1,Nonprofit - Address 2,City,State,ZIP,Contact Person - First Name,Contact Person - Last Name,Phone,Email
412014576,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Free Arts Minnesota,"400 First Avenue North, Suite 518",,Minneapolis,MN,55401,Judy,Hawkinson,612-824-2787,judy@freeartsminnesota.org
432048391,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",FreedomWorks,PO Box 11175,,Minneapolis,MN,55411,Thom,Olson,612-922-9007,thom@myfreedomworks.com
237007115,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Freshwater Society,2500 Shadywood Road,,Excelsior,MN,55331,Diane,Lynch,952-314-8134,dlynch@freshwater.org
411454505,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Friends Against Abuse,407 4th Street,,Int'l Falls,MN,56649,Jessica,Kokesh,218-285-7220,jessica@friendsagainstabuse.com
363414821,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Friends of the Boundary Waters Wilderness,401 North 3rd St,Suite 290,Minneapolis,MN,55401,Cori,Mattke,612-332-9624,cori@friends-bwca.org
411880819,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",GAPP SERVICES INC.,PO BOX 240668,,APPLE VALLEY,MN,55124,KIM,ARMSTRONG,(612)251-3850,GAPP@VISI.COM
412015141,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Gentle Touch Animal Sanctuary,4900 France Av. N.,,Brooklyn Center,MN,55429,Suzanne,Thompson,(763)537-5599,comdir.gtas@yahoo.com
204265823,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Gilda's Club Twin Cities,5115 Excelsior Blvd. #448,,Minneapolis,MN,55410,Laurie,Walker,612-718-4125,Laurie.Walker@GildasClubTwinCities.org
411922206,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Glorybound,13200 Hwy 55,,Plymouth,MN,55441,Sharon,Thomas,(763)390-0589,sharon@gloryboundmn.org
416007513,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Goldstein Museum of Design,364 McNeal Hall,1985 Buford Ave. ,Saint Paul,MN,55108,Lin,Nelson-Mayson,(612)612-3292,lnelsonm@umn.edu
410997269,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Good Earth Village,25303 Old Town Drive,,Spring Valley,MN,55975,Barb,Schramm,(507)346-2494,Barb@goodearthvillage.org
416175156,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Good Shepherd Lutheran School,151 East County 42,,Burnsville,MN,55306,Kathy ,Plitzuweit,952-953-0690,kplitz@goodshep.com
411762123,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Goodhue County Habitat for Humanity,480 West 8th Street,,Red Wing,MN,55066,Parker,Quammen,6513889360,gchfh01@gmail.com
410713917,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Goodhue County Historical Society,1166 Oak St,,Red Wing,MN,55066,Char,Henn,(651)388-6024,chargchs@qwestoffice.net
411781344,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Govenaires,PO Box 235,,St. Peter,MN,56082,Matthew,Sanders,(507)990-9273,webmaster@govenaires.org
411518414,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Grand Marais Arts, Inc",120 W 3rd Ave,Po Box 626,Grand Marais,MN,55604,Amy,Demmer,218-387-2737,director@grandmaraisartcolony.org
450427665,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",great plains assistance dogs foundation,920 short St,PO Box 513,Jud,ND,58454,shelley,nannenga,701-658-0330,shelley@greatplainsdogs.com
411909918,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Great River Educational Arts Theatre,919 W St Germain Street,,St. Cloud,MN,56301,Jill,Dalager Brunner,(320)258-2787,JillB@GreatTheatre.org
411266316,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Great River Homes, Inc.","611 Broadway Avenue, Ste. 105",,Wabasha,MN,55981,Michael,Weinandt,(651) 560-4801,mike@greatriverhomes.org
010765907,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Great River Shakespeare Festival,79 East Third Street,,Winona,MN,55987,Irene,ErkenBrack,5074749376,irene@grsf.org
416038525,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Greater Twin Cities Youth Symphonies,408 St. Peter Street,Suite 300,St. Paul,MN,55102,Jeni,Gregory,651-602-6808,jeni@gtcys.org
411933266,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Groveland Emergency Food Shelf, Inc",1900 Nicollet Avenue,,Minneapolis,MN,55403,Blake,Larson,(612)201-7745,blakelarson@grovelandfoodshelf.org
134209510,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Growth & Justice,2324 University Ave. W.,Suite 120A,St. Paul,MN,55114,Jennifer,Weddell,651-251-0696,jennifer@growthandjustice.org
411869669,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Habitat for Humanity of Douglas County,1211 N Nokomis NE,,Alexandria,MN,56308,Lori,Anderson,320-762-4255,info@hfhdouglascounty.org
411726284,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Habitat for Humanity of West Central Minnesota,619 Benson Avenue SW,,Willmar,MN,56201,Charline,Bengtson,(320)231-2704,charline@habitatwcm.org
411755549,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Habitat for Humanity Winona - Fillmore Counties,P.O. Box 1183,,Winona,MN,55987,Jennifer,Tepovich,5074570003,jen@habitatwinona.org
411740880,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hands of hope,Po box 67,,Little falls,MN,56345,Michele,Miller,3206321657,Michele.handsofhope@co.Todd.MN.us
237083534,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hastings Family Service,301 Second Street E,,Hastings,MN,55033,Amy,Sutton,651-437-7134,amysutton@hastingsfamilyservice.org
411625917,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Headwaters Science Center,413 Beltrami,,Bemidji,MN,56601,John,Mathisen,(218)751-1780,rmath@paulbunyan.net
201805262,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",HealthFinders Collaborative,710 Division Street,,Northfield,MN,55057,Jane,Clifford,507-301-5142,clifford.jane@healthfindersmn.org
010697213,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Helping Hands Outreach,101 Plymouth St,PO Box 293,Holdingford,MN,56340-0293,Jeff,Fromm,(320)746-9960,jeff.fromm@holdingfordhelpinghands.org
411628876,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Helping Paws Inc. ,630 12th Avenue South,P.O. Box 634,Hopkins,MN,55343,Pam ,Anderson ,(952) 988-9359,panderson@helpingpaws.org
411943149,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hennepin Technical College Foundation,9000 Brooklyn Blvd,,Brooklyn Park,MN,55445,Jeanne,Morphew,(763)488-2503,jeanne.morphew@hennepintech.edu
411456753,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hibbing-Chisholm Youth Hockey,PO Box 193,,Hibbing,MN,55746,Ken,White,218-969-7773,kwhite.hcyha@gmail.com
411959073,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",High Tech Kids,111 3rd Ave South,Suite 145,Minneapolis,MN,55401,Cheryl,Moeller,6127812203,cheryl@hightechkids.org
275312055,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hold Your Horses,5120 Colonial Drive,,Golden Valley,MN,55416,Janet,Weisberg,763 595 7108,janet@holdyourhorses.org
411296959,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",HOPE Adoption & Family Services,5850 Omaha Ave N,,"Oak Park Hts,",MN,55082,Nancy,Okerman Lyner,651 439 2446,nlyner@hopeadoptionservices.org
412019565,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hope Chest for Breast Cancer,3850 Shoreline Dr. S,,Wayzata,MN,55391,Cathy,Braaten,952-471-8700x17,cbraaten@hopechest.us
411720180,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",HOPE Coalition,480 W. 8th Street,,Red Wing,MN,55066,Laurie,Andrews,651-388-9360,landrews@hope-coalition.org
371441658,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hope for the City,4350 Baker Rd. #400,,Minnetonka,MN,55343,Cindy,Babcock,952-897-7728,cindy@hopeforthecity.net
411808042,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hopkins Education Foundation,1001 Highway 7,Suite 243,Hopkins,MN,55305,Cindy,Muzetras,952-988-4149,cindy.muzetras@hopkinsschools.org
030464240,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hospice of the Twin Cities,"10405 6th Avenue North, Suite 250",,Plymouth,MN,55441,Dorothy,Nardini,612-618-9009,niecenardini@gmail.com
411449848,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Hot Meals For Shut Ins ,550 Osborne Road NE ,,Fridley ,MN,55432,Eve,Frank,763 236 3636,eve.73mow@hotmail.com
263326882,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",HUGE Improv Theater,3037 S Lyndale Ave,,Minneapolis,MN,55408,Molly,Chase,404-932-3774,molly@hugetheater.com
411344006,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Human Life Alliance,1614 93rd Lane NE,,Minneapolis,MN,55449,Joe,Langfeld,(651)494-1040,jlangfeld@humanlife.org
411461895,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Humane Society of Goodhue County,1213 Brick Ave,,Red Wing,MN,55066,Anna,Ostendorf,(651)388-5286,director@hsgcpets.org
411651603,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Humane Society of the Lakes,19665 State Hwy59,,Detroit Lakes,MN,56501,Kelly,Blackledge,218-255-1152,ribbit@arvig.net
416038537,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",InnerCity Tennis,4005 Nicollet Avenue,,Minneapolis,MN,55409,Brady,Schmidt,(612)940-4376,brady.schmidt@innercitytennis.org
391837906,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Interfaith Caregivers of Polk County,PO Box 426,"215 Main Street, Suite 105",Balsam Lake,WI,54810,Karen,Krupa,(715)485-9500,info@interfaithpolk.org
411226945,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Intermedia Arts of Minnesota, Inc.",2822 Lyndale Avenue South,,Minneapolis,MN,55408,Jessie,Roelofs,(612) 874-2812,Jessie@IntermediaArts.org
260545027,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Iraqi and American Reconciliation Project,416 E Hennepin Ave,Suite 116,Minneapolis,MN,55414,Luke,Wilcox,6053606020,luke@reconciliationproject.org
411690171,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Irondale Band Boosters,P.O. box 120283,,St. Paul,MN,55112,Sonja,Super,6512835197,treasurer@irondalebands.org
364209055,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","ITASCA COMMUNITY TELEVISION, INC.",724 NW Conifer Drive,,Grand Rapids,MN,55744,Beth,George,2183275866,bgeorgeictv@mchsi.com
411732842,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Itasca County Habitat for Humanity,PO Box 81,1338 E. US Hwy 169,Grand Rapids,MN,55744,Goldie,Swalboski,218-999-9001,volunteer@itascahabitat.org
410984222,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Itasca County Historical Society,10 Northwest 5th Street,,Grand Rapids,MN,55744,Lilah ,Crowe,(218)326-6431,ichs@paulbunyan.net
411889548,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Jabbok Family Services,2608 Blaisdell Avenue South,,Minneapolis,MN,55408,Nan,Hagg,(612)870-6118,nhagg@jabbokfamilyservices.org
411650728,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Jawaahir Dance Company,3010 Minnehaha Avenue,,Minneapolis,MN,55406,Eileen,Goren,(612)872-6050,booking@jawaahir.org
410826434,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Jewuish Community Relations Council of Minnesota and the Dakotas,12 North 12th Street,Ste 480,Minneapolis,MN,55403,Jason,Rose,612-338-7816,Jason@minndakjcrc.org
810594016,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Joyce Preschool,1219 West 31st Street,,Minneapolis,MN,55408,Laura,Tompkins,(612) 823-2447,laura.tompkins@joycepreschool.org
262693338,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Kaddatz Galleries,111 West Lincoln Ave,,Fergus Falls,MN,56537,Gretchen,Boyum,218-998-4405,info@kaddatzgalleries.org
810551482,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Kairos Dance Theatre,4316 Upton Avenue South,Suite 206,Minneapolis,MN,55410,Lynnea,Forness,612-926-5454,lynnea@kairosalive.org
208449852,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Kaleidoscope Place,2400 Park Avenue,,Minneapolis,MN,55404,Ryan,Kirk,612-871-9268,ryan@kaleidoscope-kids.org
200811343,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Karen Wyckoff Rein in Sarcoma Foundation,3312 Richmond Avenue,,Shoreview,MN,55126,Peter,Wyckoff,(651)486-9114,wyckoffris@yahoo.com
363557119,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Katha Dance Theatre,5444 Orchard Avenue N,,Crystal,MN,55429,Rita,Mustaphi,(763) 533-0756,info@kathadance.org
411690131,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lake Agassiz Habitat for Humanity,PO Box 1022,,Moorhead,MN,56560,Rob,Rich,(218) 284-5253,rob@lakeagassizhabitat.org
411659149,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lakes Area Habitat For Humanity,PO Box 234,,Brainerd,MN,56401,Kevin,Pelkey,218-828-8517,kevin.pelkey@lakesareahabitat.org
411322058,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lakes Area Youth Service Bureau,244 N. Lake Street,,Forest Lake,MN,55025,Jackie,Kottke,(651)464-3685,jackie.kottke@ysblakesarea.org
411686950,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lakes Life Care Cente,840 W. Broadway Ave,Suite 100,Forest Lake,MN,55025,Jill,Wagner,651-464-0262,jillmarwagner@gmail.com
200901562,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Laura Jeffrey Academy,1550 Summit Ave,,St Paul,MN,55105,Joy,McBrien,651-338-3842,joym@laurajeffreyacademy.org
411289825,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lawyers Concerned for Lawyers,2550 University Ave W,Suite 313N,St. Paul,MN,55114,Joan,Bibelhausen,(651)646-5590,jbibelhausen@mnlcl.org
410996581,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","Legal Assistance of Dakota County, Ltd.","14800 Galaxie Avenue, Ste. 103",,Apple Valley,MN,55116,Katie ,Trotzky,952-431-3200,ktrotzky@dakotalegal.org
411414701,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Les Voyageurs Incorporated,PO Box 2281,,St. Cloud,MN,56302,Ryan,Strack,(612)810-6446,Ryan@les-voyageurs.org
481259413,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Let's Go Fishing MN,1025 19th Ave SW,,Willmar,MN,56201,Joe,Holm,(320)235-8448,joe@lgfws.com
363291367,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Listening House of St. Paul,215 Ninth Street West,,St. Paul,MN,55102,Rosemarie,Reger-Rumsey,651-227-5911,rosemarie@listeninghouse.org
411740707,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Little Sand Group Homes,5910 Little Sand Lane NE,,Remer,MN,56672,Kim,Archer,218-566-2342,kimlsgh@gmail.com
411694745,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Loan Repayment Asssistance Program of Minnesota,600 Nicollet Mall Ste 380,,Minneapolis,MN,55402,Heather,Vlieger,612-278-6315,HeatherRV@statebar.gen.mn.us
237367336,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lourdes Foundation,621 W Center Street,,Rochester,MN,55902,Sheila ,Rainey,5072892584,srainey@rochestercatholic.k12.mn.us
731713948,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Love INC Heartland,318 Railroad Ave.,PO Box 143,Delano,MN,55328,Joleen,Soderberg,(612)432-9637,joleen@loveincheartland.org
411237314,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Luther Crest,8231 County Road 11 NE,,Alexandria,MN,56308,David,Holtz,320-846-2431,daveh@luthercrest.org 
410841180,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Luther Park Bible Camp and Retreat Center,30376 Lakes Drive,,Danbury,WI,54830,Joel,Legred,(612) 987-6628,jlegred@lutherpark.com
411896322,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lutheran Campus Ministry-Twin Cities,324 Harvard Street,,Minneapolis,MN,55414,Kate,Reuer,6126058010,kate@graceattheu.org
411818525,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lutheran Partners in Global Ministry,122 W. Franklin Ave,Suite 319,Minneapolis,MN,55404,Mary,Peterson,612-823-5058,mary@lutheranpartners.org
411513307,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Lyric Arts Company of Anoka,420 E Main St,,Anoka,MN,55303,Laura,Tahja Johnson,763-433-2510,laura@lyricarts.org
411745779,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Macalester-Summit Hill Living at Home,1600 Grand Ave.,,St. Paul,MN,55105,Kathleen ,Arnesen,651-696-6882,msh@macalester.edu
237105948,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",MacRostie Art Center,405 NW 1st Avenue,,Grand Rapids,MN,55744,Katie,Marshall,(218) 326-2697,katie@macrostieartcenter.org
411729332,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Magnum Chorum,P.O. Box 16600 ,,Minneapolis,MN,55416,Kim,Bowman,612-281-4444,kimmojane@aol.com
201788275,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Main Street Project,P.O. Box 80066,,Minneapolis,MN,55408,Kat,Vann,(612)709-1279,kat@mainstreetproject.org
911839509,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Majestic Hills Ranch Foundation,24580 Dakota Ave,,Lakeville,MN,55044,Carol,Meagher,952-703-3719,cmeagher@teachersoncall.com
411796971,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Mano a Mano International Partners,774 Sibley Memorial Highway,,Mendota Heights,MN,55118,Nate,Knatterud-Hubinger,651-457-3141,nate@manoamano.org
411907844,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Math and Science Academy,8430 Woodbury Crossing,,Woodbury,MN,55082,Julia,Charlsen,651-775-7177,jcharlsen@mac.com
410722639,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Mental Health Association of Minnesota,475 Cleveland Ave N Ste 222,,St. Paul,MN,55104,Nancy,Paul,(651) 493-6634,nancyp@mentalhealthmn.org
411358663,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Metro Blooms,PO Box 17099,,Minneapolis,MN,55417,Barbara,Speltz,6128019321,barb@metroblooms.org
311501057,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Metro Meals on Wheels,1200 Washington Ave.,Suite 380,Minneapolis,MN,55415,Tina,Pfau Gonzales,612-623-3363,tina@meals-on-wheels.com
